Thorlabs Shack-Hartmann Wavefront Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model                  ,       WFS150-5C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number          ,       M00278808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date MM-DD-YYYY        ,       03-01-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time HH:MM:SS          ,       12:17:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** CAMERA ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camera Type            ,       Thorlabs DCU224M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.65,-0.1,-0.051,-0.047,-0.075,-0.033,-0.001,0.033,0.009,-0.053,-0.078,-0.116,-0.103,-0.127,-0.156,-0.244,-0.332,-0.281,-0.202,-0.111,-0.057,-0.029,-0.037,-0.018,-0.014,-0.016,0.032,0.087,0.139,0.084,0.078,0.007,0.032,0.06,0.09,0.058,0.007,-0.045
1.5,-0.035,0.002,-0.038,-0.075,-0.036,0.007,0.037,0.05,0.024,0.045,-0.001,0.008,-0.05,-0.115,-0.2,-0.279,-0.262,-0.182,-0.074,-0.003,0.019,-0.003,0.006,-0.012,-0.006,0.049,0.092,0.147,0.101,0.09,0.02,0.031,0.033,0.058,0.029,-0.001,-0.073
1.35,-0.008,0.017,0,-0.039,-0.032,-0.023,0.018,0.07,0.058,0.07,0.075,0.086,0.045,-0.055,-0.156,-0.221,-0.231,-0.176,-0.082,0.004,0.035,0.016,0.007,-0.004,0.017,0.053,0.099,0.158,0.11,0.085,0.016,0,-0.032,-0.008,-0.008,-0.021,-0.101
1.2,-0.04,-0.018,-0.006,-0.031,-0.056,-0.048,0.028,0.091,0.103,0.086,0.108,0.124,0.091,-0.013,-0.103,-0.191,-0.239,-0.185,-0.082,0.006,0.038,0.028,0.015,0.01,0.032,0.064,0.07,0.104,0.079,0.055,-0.025,-0.05,-0.057,-0.045,-0.044,-0.073,-0.149
1.05,-0.113,-0.094,-0.049,-0.043,-0.053,-0.052,-0.004,0.068,0.076,0.087,0.131,0.141,0.116,0.035,-0.08,-0.155,-0.209,-0.17,-0.122,-0.036,0.017,0.034,0,-0.017,0.006,0.045,0.068,0.069,0.019,-0.019,-0.053,-0.066,-0.076,-0.06,-0.074,-0.095,-0.21
0.9,-0.146,-0.126,-0.1,-0.1,-0.111,-0.093,-0.043,0.027,0.053,0.08,0.132,0.141,0.133,0.095,-0.001,-0.044,-0.11,-0.135,-0.113,-0.047,0.008,0.018,0.015,-0.041,-0.022,0.042,0.066,0.037,-0.023,-0.06,-0.101,-0.106,-0.095,-0.096,-0.107,-0.126,-0.241
0.75,-0.126,-0.089,-0.045,-0.046,-0.092,-0.093,-0.048,-0.006,0.021,0.063,0.121,0.133,0.138,0.136,0.068,0.034,-0.026,-0.101,-0.076,0.012,0.045,0.017,0.002,-0.034,0.012,0.042,0.059,0.024,-0.038,-0.084,-0.113,-0.114,-0.093,-0.1,-0.156,-0.164,-0.245
0.6,-0.076,-0.051,-0.007,0.006,-0.051,-0.036,-0.04,-0.029,0.013,0.052,0.082,0.107,0.148,0.151,0.081,0.089,0.059,-0.023,-0.067,0.019,0.048,0.038,0.024,0.025,0.038,0.042,0.025,-0.005,-0.057,-0.084,-0.095,-0.101,-0.095,-0.112,-0.142,-0.176,-0.266
0.45,-0.064,-0.016,0.037,0.043,0.012,-0.008,-0.048,-0.049,-0.015,0.026,0.029,0.071,0.143,0.135,0.068,0.076,0.058,-0.013,-0.068,0.03,0.05,0.056,0.058,0.041,0.02,0.002,-0.005,-0.018,-0.045,-0.091,-0.096,-0.14,-0.123,-0.115,-0.121,-0.154,-0.213
0.3,-0.026,0.023,0.068,0.071,0.06,0.025,-0.028,-0.081,-0.054,-0.01,-0.019,0.033,0.108,0.106,0.082,0.089,0.064,-0.008,-0.043,0.032,0.065,0.065,0.068,0.023,-0.011,-0.033,-0.04,-0.039,-0.046,-0.094,-0.101,-0.149,-0.119,-0.112,-0.079,-0.13,-0.182
